Currency1,Currency2,Correlation,Cointegration,Criticals,Ratio
MANAUSDT,SANDUSDT,0.8935465414990488,-4.299776780079875,-3.9267806789638935,0.8502317841435874
IOTAUSDT,ENJUSDT,0.8613646792530805,-4.139949313630266,-3.9267806789638935,0.5601463309662147
THETAUSDT,ALICEUSDT,0.8512083191434906,-4.642571057129109,-3.9267806789638935,0.6085776330076004
ENJUSDT,WAXPUSDT,0.8492766914947423,-5.393777769191147,-3.9267806789638935,5.4734982332155475
ALICEUSDT,BAKEUSDT,0.8459354152052005,-4.072638101568264,-3.9267806789638935,7.675000000000001
THETAUSDT,ENJUSDT,0.8449461757016125,-4.7834936669273596,-3.9267806789638935,2.41230901656983
IOTXUSDT,ALICEUSDT,0.8445005578152882,-4.015270298023256,-3.9267806789638935,0.01553745928338762
STMXUSDT,WAXPUSDT,0.842701762811441,-6.884574988193139,-3.9267806789638935,0.0825206124852768
IOTXUSDT,TLMUSDT,0.8414527161411574,-4.819399059660037,-3.9267806789638935,1.2373540856031127
IOTAUSDT,ZENUSDT,0.8349833945505696,-4.260835269799432,-3.9267806789638935,0.019111600587371512
COMPUSDT,AAVEUSDT,0.833772143708461,-4.401991740638223,-3.9267806789638935,0.6302354399008674
THETAUSDT,BAKEUSDT,0.8307154193315965,-5.331621940735831,-3.9267806789638935,4.670833333333333
